Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Regulated-By	GO terms (biological process)	Transcription Units	gene ID	Pathways of gene	TU ID
bluF	b1163	1214264	1215475	blue light- and temperature-regulated antirepressor BluF	Regulation of bluF by DNA-binding transcriptional dual regulator H-NS	blue light signaling pathway // response to stimulus // response to blue light // negative regulation of DNA-binding transcription factor activity	bluF	G6603		bluF
gfcB	b0986	1048688	1049332	lipoprotein GfcB			gfcBCD	G6507		gfcBCD
chpB	b4225	4448692	4449042	endoribonuclease toxin ChpB		regulation of DNA-templated transcription // single-species biofilm formation // regulation of growth // rRNA catabolic process // mRNA catabolic process // regulation of mRNA stability // negative regulation of cell growth	chpSB // chpSB	EG12096		chpSB // chpSB
gcvB	b4443	2942696	2942901	small regulatory RNA GcvB	Regulation of gcvB by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of gcvB by DNA-binding transcriptional dual regulator ArcA-phosphorylated	mRNA stabilization // positive regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing	gcvB	G0-8867		gcvB
acnA	b1276	1335831	1338506	aconitate hydratase 1		citrate metabolic process // glyoxylate cycle // anaerobic respiration // response to oxidative stress // tricarboxylic acid cycle	acnA // acnA // acnA // acnA	EG11325	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // glyoxylate cycle // TCA cycle I (prokaryotic)	acnA // acnA // acnA // acnA
ybiT	b0820	855963	857555	putative ATP-binding protein YbiT	Regulation of ybiT by DNA-binding transcriptional dual regulator Lrp		ybiT	G6423		ybiT
rraB	b4255	4478473	4478889	ribonuclease E inhibitor protein B		regulation of endoribonuclease activity // mRNA catabolic process	rraB // yjgD	G7885		rraB // yjgD
pspH	b4758	4263139	4263249	small regulatory RNA PspH		RNA destabilization	pspG	G0-16700		pspG
sulA	b0958	1020410	1020919	cell division inhibitor SulA	Regulation of sulA by DNA-binding transcriptional dual regulator Lrp	division septum assembly // cell division // negative regulation of cell division // negative regulation of cytokinesis // cell cycle // DNA damage response // negative regulation of protein polymerization // negative regulation of FtsZ-dependent cytokinesis // SOS response	sulA	EG10984		sulA
rflP	b1707	1791307	1792020	anti-FlhDC factor RflP	Regulation of rflP by DNA-binding transcriptional dual regulator H-NS // Regulation of rflP by DNA-binding transcriptional dual regulator Nac	negative regulation of bacterial-type flagellum-dependent cell motility	ydiV	G6925		ydiV
sdsN	b4719	1996921	1997057	small regulatory RNA SdsN		negative regulation of cellular process	sdsN // sdsN	G0-10699		sdsN // sdsN
ybbO	b0493	518340	519149	NADP<sup>+</sup>-dependent aldehyde reductase YbbO		steroid metabolic process	tesA-ybbO	G6269		tesA-ybbO
rplT	b1716	1799393	1799749	50S ribosomal subunit protein L20		cytoplasmic translation // negative regulation of translation // translation // ribosomal large subunit assembly	thrS-infC-rpmI-rplT-pheMST-ihfA // infC-rpmI-rplT // rpmI-rplT // rplT-pheM // rplT	EG10881		thrS-infC-rpmI-rplT-pheMST-ihfA // infC-rpmI-rplT // rpmI-rplT // rplT-pheM // rplT
rsxD	b1630	1709142	1710200	SoxR [2Fe-2S] reducing system protein RsxD		transmembrane transport // electron transport chain	rsxABCDGE-nth // ydgK-rsxABCDGE-nth	G6874		rsxABCDGE-nth // ydgK-rsxABCDGE-nth
istR	b4616	3853118	3853257	small regulatory RNA IstR-1 // small RNA IstR-2		sRNA-mediated post-transcriptional gene silencing	istR-1 // istR-2	G0-10201		istR-1 // istR-2
yaeQ	b0190	214291	214836	uncharacterized protein YaeQ	Regulation of yaeQ by DNA-binding transcriptional dual regulator Lrp		yaeQ-arfB-nlpE	G6098		yaeQ-arfB-nlpE
rsxA	b1627	1705767	1706348	SoxR [2Fe-2S] reducing system protein RsxA		electron transport chain	rsxABCDGE-nth // ydgK-rsxABCDGE-nth	G6871		rsxABCDGE-nth // ydgK-rsxABCDGE-nth
rapZ	b3205	3347115	3347969	RNase adaptor protein RapZ		RNA destabilization // protein homotetramerization	lptB-rpoN-hpf-ptsN-yhbJ // rpoN-hpf-ptsN-yhbJ-npr	EG12146		lptB-rpoN-hpf-ptsN-yhbJ // rpoN-hpf-ptsN-yhbJ-npr
bhsB	b4832	1169303	1169402	small RNA BhsB				G0-17107		
rcdA	b0846	887423	887959	RcdA		positive regulation of DNA-templated transcription // DNA-templated transcription	ybjK	G6444		ybjK
ykfO	b4815	234288	234320	protein YkfO				G0-17090		
arpA	b4017	4220301	4222487	regulator of acetyl CoA synthetase			arpA	EG11208		arpA
dctA	b3528	3682161	3683447	C4 dicarboxylate/orotate:H<sup>+</sup> symporter		carboxylic acid transport // malate transmembrane transport // succinate transmembrane transport // dicarboxylic acid transport // DNA damage response // L-aspartate transmembrane transport // fumarate transport	dctA	EG20044		dctA
sfsA	b0146	160782	161486	sugar fermentation stimulation protein A		positive regulation of biosynthetic process	sfsA-dksA	EG10949		sfsA-dksA
ynfQ	b4724	1638256	1638444	Qin prophage; protein YnfQ				G0-16689		
yjjQ	b4365	4603477	4604202	DNA-binding transcriptional repressor YjjQ	Regulation of yjjQ by DNA-binding transcriptional repressor GlaR	regulation of DNA-templated transcription // response to methylglyoxal	yjjQ-bglJ	G7947		yjjQ-bglJ
yieP	b3755	3940635	3941327	DNA-binding transcriptional dual regulator YieP	Regulation of yieP by DNA-binding transcriptional dual regulator Nac	regulation of DNA-templated transcription	yieP-hsrA	EG11733		yieP-hsrA
obgE	b3183	3330582	3331754	GTPase ObgE		ribosomal large subunit assembly // ribosome biogenesis // dormancy process // negative regulation of ribosome biogenesis // ribosome assembly // chromosome segregation	rplU-rpmA-yhbE-obgE	G7656		rplU-rpmA-yhbE-obgE
yfeC	b2398	2518467	2518811	DNA-binding transcriptional dual regulator YfeC	Regulation of yfeC by DNA-binding transcriptional dual regulator YfeC		yfeCD	EG11431		yfeCD
yqeI	b2847	2988502	2989311	putative transcriptional regulator YqeI		phosphorelay signal transduction system // regulation of DNA-templated transcription	yqeIJ	G7467		yqeIJ
yshB	b4686	4053647	4053757	uncharacterized protein YshB				G0-10657		
ariR	b1166	1216369	1216635	putative two-component system connector protein AriR		cellular response to acidic pH // single-species biofilm formation // response to hydrogen peroxide	ycgZ-ymgA-ariR-ymgC // ariR // ycgZ-ymgA-ariR-ymgC // ymgA-ariR	G6606		ycgZ-ymgA-ariR-ymgC // ariR // ycgZ-ymgA-ariR-ymgC // ymgA-ariR
ylbG	b0502	529645	530016	putative DNA-binding transcriptional regulator YlbG			ylbG	G6273		ylbG
fumE	b2929	3074686	3075195	fumarase E			yggDC // cmtBA-yggPF-fumE-yggC	EG11162	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // TCA cycle I (prokaryotic) // mixed acid fermentation	yggDC // cmtBA-yggPF-fumE-yggC
ybdD	b4512	632182	632379	PF04328 family protein YbdD			ybdD	G0-10438		ybdD
dctR	b3507	3654683	3655213	putative DNA-binding transcriptional regulator DctR	Regulation of dctR by DNA-binding transcriptional repressor GlaR	cellular stress response to acidic pH // regulation of DNA-templated transcription	slp-dctR	EG11889		slp-dctR
phoU	b3724	3906853	3907578	negative regulator of the <i>pho</i> regulon		cellular response to pH // negative regulation of phosphate transmembrane transport // cellular response to antibiotic // cellular response to heat // negative regulation of ion transmembrane transporter activity // intracellular phosphate ion homeostasis // cellular response to phosphate starvation // negative regulation of gene expression // cellular response to starvation // regulation of cell growth // negative regulation of phosphate metabolic process // phosphate ion transport	pstB-phoU // pstSCAB-phoU // pstCAB-phoU // phoU // pstB-phoU // pstCAB-phoU // pstB-phoU // pstSCAB-phoU	EG10735		pstB-phoU // pstSCAB-phoU // pstCAB-phoU // phoU // pstB-phoU // pstCAB-phoU // pstB-phoU // pstSCAB-phoU
tldD	b3244	3390583	3392028	metalloprotease subunit TldD		proteolysis // protein processing	tldD	G7689		tldD
mqsA	b3021	3167851	3168246	antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA		single-species biofilm formation // regulation of DNA-templated transcription	mqsA // mqsA // mqsRA // mqsRA	G7571		mqsA // mqsA // mqsRA // mqsRA
fliZ	b1921	2000473	2001024	DNA-binding transcriptional regulator FliZ		negative regulation of DNA-templated transcription // DNA integration // regulation of bacterial-type flagellum-dependent cell motility	fliAZY // fliAZY	EG11356		fliAZY // fliAZY
ycaI	b0913	964320	966584	metallo-&beta;-lactamase superfamily inner membrane protein YcaI		establishment of competence for transformation	ycaI-msbA-lpxK-ycaQ	EG12375		ycaI-msbA-lpxK-ycaQ
hicB	b1438	1509508	1509924	antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB		regulation of DNA-templated transcription // regulation of growth // response to stress	hicAB // hicAB	G6749		hicAB // hicAB
dgcC	b0385	403703	404818	diguanylate cyclase DgcC		negative regulation of bacterial-type flagellum-dependent cell motility // cell adhesion involved in single-species biofilm formation // positive regulation of cellulose biosynthetic process	adrA	EG11257		adrA
rnk	b0610	643557	643967	nucleoside diphosphate kinase regulator		DNA-templated transcription elongation // regulation of DNA-templated transcription elongation	rnk	G6337		rnk
yhjD	b3522	3673362	3674375	putative transporter YhjD		lipopolysaccharide transport	yhjD	EG12248		yhjD
bfd	b3337	3466797	3466991	bacterioferritin-associated ferredoxin	Regulation of bfd by DNA-binding transcriptional dual regulator Nac		bfd-bfr	EG11181		bfd-bfr
glnK	b0450	472598	472936	uridylyl-[protein PII-2] // nitrogen regulatory protein PII-2	Regulation of glnK by DNA-binding transcriptional dual regulator Lrp	regulation of nitrogen utilization // positive regulation of nitrogen utilization	glnK-amtB	EG12191		glnK-amtB
relA	b2784	2911417	2913651	GDP/GTP pyrophosphokinase	Regulation of relA by DNA-binding transcriptional dual regulator Lrp	response to starvation // guanosine tetraphosphate biosynthetic process // phosphorylation // guanosine tetraphosphate metabolic process // nucleobase-containing small molecule interconversion	relA // relA // relA-mazEF // relA-mazEF	EG10835	ppGpp metabolism	relA // relA // relA-mazEF // relA-mazEF
yheO	b3346	3475718	3476440	DNA-binding transcriptional regulator YheO			yheO-tusDCB // yheO-tusDCB	G7715		yheO-tusDCB // yheO-tusDCB
ravA	b3746	3929597	3931093	regulatory ATPase RavA			ravA-viaA	EG11731		ravA-viaA
yhdN	b3293	3439141	3439509	DUF1992 domain-containing protein YhdN	Regulation of yhdN by DNA-binding transcriptional dual regulator Lrp		yhdN-zntR	EG11970		yhdN-zntR
aer	b3072	3217556	3219076	aerotaxis receptor	Regulation of aer by DNA-binding transcriptional dual regulator Lrp	chemotaxis // positive aerotaxis // signal transduction	aer	G7595		aer
uspA	b3495	3640111	3640545	universal stress protein A	Regulation of uspA by DNA-binding transcriptional dual regulator Nac		uspA // uspA // uspA	EG11390		uspA // uspA // uspA
cedA	b1731	1813421	1813663	cell division modulator		cell division // cell cycle // regulation of cell division	cedA	G6936		cedA
wzzE	b3785	3969031	3970077	enterobacterial common antigen polysaccharide co-polymerase	Regulation of wzzE by DNA-binding transcriptional dual regulator Nac	lipopolysaccharide biosynthetic process // enterobacterial common antigen biosynthetic process	rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM	EG11295		rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
yddE	b1464	1534965	1535858	PF02567 family protein YddE		biosynthetic process	yddE	EG11825		yddE
alaA	b2290	2407561	2408778	glutamate&mdash;pyruvate aminotransferase AlaA	Regulation of alaA by DNA-binding transcriptional dual regulator Lrp	amino acid biosynthetic process // biosynthetic process // alanine biosynthetic process // D-alanine biosynthetic process // DNA damage response // response to antibiotic // L-alanine biosynthetic process from pyruvate	alaA-yfbR // alaA	G7184	superpathway of L-alanine biosynthesis // L-alanine biosynthesis II	alaA-yfbR // alaA
alaC	b2379	2497057	2498295	glutamate&mdash;pyruvate aminotransferase AlaC	Regulation of alaC by DNA-binding transcriptional dual regulator Nac	amino acid biosynthetic process // biosynthetic process // D-alanine biosynthetic process // alanine biosynthetic process // L-alanine biosynthetic process from pyruvate	alaC	G7242	superpathway of L-alanine biosynthesis // L-alanine biosynthesis II	alaC
alr	b4053	4265782	4266861	alanine racemase 1		cell wall organization // alanine metabolic process // peptidoglycan biosynthetic process // regulation of cell shape // D-alanine biosynthetic process	alr // alr	EG10001	L-alanine degradation I // alanine racemization	alr // alr
gloB	b0212	234027	234782	hydroxyacylglutathione hydrolase GloB		response to toxic substance // response to heat // methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione	gloB	G6099	superpathway of methylglyoxal degradation // methylglyoxal degradation I	gloB
smf	b4473	3432436	3433560	protein Smf		DNA-mediated transformation	smf	EG11604		smf
alaB				glutamate&mdash;pyruvate aminotransferase AlaB				G0-9281		
ydjG	b1771	1854991	1855971	NADH-dependent methylglyoxal reductase			ydjLKJIHG	G6958		ydjLKJIHG
avtA	b3572	3739705	3740958	valine&mdash;pyruvate aminotransferase	Regulation of avtA by DNA-binding transcriptional dual regulator Lrp // Regulation of avtA by DNA-binding transcriptional dual regulator Lrp // Regulation of avtA by DNA-binding transcriptional dual regulator Lrp	alpha-amino acid metabolic process // biosynthetic process // D-alanine biosynthetic process // L-alanine biosynthetic process // valine biosynthetic process	avtA	EG10107	superpathway of L-alanine biosynthesis // L-alanine biosynthesis I	avtA
gloC	b0927	983650	984297	hydroxyacylglutathione hydrolase GloC		response to toxic substance // methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione	mepK-gloC	G6475	superpathway of methylglyoxal degradation // methylglyoxal degradation I	mepK-gloC
stfZ	b4840	104948	105499	small antisense RNA StfZ			stfZ // stfZ // stfZ	G0-17120		stfZ // stfZ // stfZ
aldA	b1415	1488232	1489671	aldehyde dehydrogenase A	Regulation of aldA by DNA-binding transcriptional dual regulator ArcA-phosphorylated	gamma-aminobutyric acid catabolic process // fucose catabolic process // rhamnose catabolic process // L-fucose catabolic process	aldA	EG10035	superpathway of fucose and rhamnose degradation // methylglyoxal degradation IV // superpathway of methylglyoxal degradation // L-lactaldehyde degradation (aerobic) // superpathway of glycol metabolism and degradation // ethylene glycol degradation // D-arabinose degradation II	aldA
rdlC	b4424	1270393	1270460	putative antisense regulatory RNA RdlC		negative regulation of bacterial-type flagellum-dependent cell motility	rdlC	G0-9608		rdlC
yjeO	b4158	4385704	4386018	DUF2645 domain-containing inner membrane protein YjeO			yjeNO	G7839		yjeNO
yeaE	b1781	1864782	1865636	methylglyoxal reductase YeaE	Regulation of yeaE by DNA-binding transcriptional dual regulator Lrp // Regulation of yeaE by DNA-binding transcriptional repressor GlaR	methylglyoxal catabolic process	yeaE	G6967	superpathway of methylglyoxal degradation // methylglyoxal degradation III	yeaE
